ENCFF467FZY	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF210QWJ, ENCFF459QXO	544076173	ENCODE Processing Pipeline	038e2e19b8823efee876d06f9b598eeb		https://www.encodeproject.org/files/ENCFF467FZY/@@download/ENCFF467FZY.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF955VYF	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF466OUZ, ENCFF714ZPY	522763837	ENCODE Processing Pipeline	bab28813816a82f0102fe2eaeaa498c7		https://www.encodeproject.org/files/ENCFF955VYF/@@download/ENCFF955VYF.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF994RHN	bigWig	signal p-value	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF210QWJ, ENCFF459QXO, ENCFF466OUZ, ENCFF714ZPY	986394937	ENCODE Processing Pipeline	77019e4df9663f5fb3716e7f0061e0f1		https://www.encodeproject.org/files/ENCFF994RHN/@@download/ENCFF994RHN.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF409SKK	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF461AMQ	10588396	ENCODE Processing Pipeline	a80cc144c5f3a55ad479d85fb032ca43		https://www.encodeproject.org/files/ENCFF409SKK/@@download/ENCFF409SKK.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF680AMS	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1							ENCFF210QWJ, ENCFF459QXO	423601934	ENCODE Processing Pipeline	615c57fd7798704b7159492e42a8e325		https://www.encodeproject.org/files/ENCFF680AMS/@@download/ENCFF680AMS.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF125TNP	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF179BYY	145003	ENCODE Processing Pipeline	2b610440e10959b1ce9286b45df0a72f		https://www.encodeproject.org/files/ENCFF125TNP/@@download/ENCFF125TNP.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF131KXO	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF466OUZ, ENCFF714ZPY	401582433	ENCODE Processing Pipeline	29aa52ff81f9e5a66332ee687b9177c3		https://www.encodeproject.org/files/ENCFF131KXO/@@download/ENCFF131KXO.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF600GRJ	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF429XQI	154148	ENCODE Processing Pipeline	13d39260249b93761667d08300fb4b2a		https://www.encodeproject.org/files/ENCFF600GRJ/@@download/ENCFF600GRJ.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF940YAF	bigWig	fold change over control	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF210QWJ, ENCFF459QXO, ENCFF466OUZ, ENCFF714ZPY	921350609	ENCODE Processing Pipeline	08d6cbec866a79dbc5acc6d6529ad88e		https://www.encodeproject.org/files/ENCFF940YAF/@@download/ENCFF940YAF.bigWig	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF988QFK	bigBed narrowPeak	peaks and background as input for IDR	ENCSR184MFH	ChIP-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens				ZFP36-human	DNA					False	2014-07-07	ENCODE				3							ENCFF280BJI	10835095	ENCODE Processing Pipeline	dd8c61d0b2509e930118a004c1334aae		https://www.encodeproject.org/files/ENCFF988QFK/@@download/ENCFF988QFK.bigBed	GRCh38			released	low read length, low read depth	experiment not submitted to GEO	partially characterized antibody	
