geneID	geneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000132604	TERF2	510.898540730913	-1.16165183593646	0.12923372820038	-8.98876672609252	2.50020068560658e-19	8.65319457288437e-16
ENSG00000116761	CTH	5934.13173977276	0.601632662649702	0.0768987520633372	7.8236986492859	5.12935118300513e-15	1.18351229629205e-11
ENSG00000112893	MAN2A1	6334.95771978356	0.475556053941023	0.0676704161398118	7.02753257728592	2.10217738050128e-12	2.91025436556597e-09
ENSG00000197747	S100A10	800.79880537121	-0.88061543462473	0.128801089299563	-6.83701853310114	8.08582843036524e-12	9.32835073249804e-09
ENSG00000101928	MOSPD1	1554.55687934265	0.536840924912957	0.0791209838242754	6.78506382207354	1.16035204249186e-11	1.23568566740441e-08
ENSG00000137492	THAP12	2712.74368194111	-0.541177815850706	0.0830888666468799	-6.51324103565719	7.35463492462322e-11	7.27268327832028e-08
ENSG00000079134	THOC1	2156.40987825264	-0.486501362503964	0.0752618869180799	-6.4641132773286	1.01894523910688e-10	9.40418526013042e-08
ENSG00000185838	GNB1L	355.712299344815	-0.818685614443871	0.127511938208697	-6.42046247547378	1.35860958332732e-10	1.17553694197396e-07
ENSG00000101216	GMEB2	781.83079477503	0.715473426053395	0.11301550635619	6.3307545054786	2.43965244582095e-10	1.98673814470266e-07
ENSG00000103335	PIEZO1	26624.9342733256	-0.325716216639645	0.0516929694129305	-6.30097710266515	2.95775090657715e-10	2.27483908614745e-07
ENSG00000068724	TTC7A	1821.00845692946	-0.311288777613614	0.0505048173853313	-6.16354624626412	7.11335909642486e-10	5.18301807004767e-07
ENSG00000165684	SNAPC4	2032.85764585482	0.370085522228176	0.0620446316175167	5.96482745694459	2.44892682128134e-09	1.54104285971904e-06
ENSG00000022567	SLC45A4	2616.56096239205	-0.397260032624105	0.0683592115314948	-5.81136065972729	6.19670993787531e-09	3.57446884916441e-06
ENSG00000105323	HNRNPUL1	4365.81645395138	-0.271334508495994	0.0473439398381886	-5.73113495461841	9.97608525921084e-09	5.34208720721548e-06
ENSG00000003436	TFPI	6583.73294609164	0.500893860122159	0.0886866638475121	5.64790508957915	1.62414795271041e-08	8.32766824345291e-06
ENSG00000142949	PTPRF	5168.65355491549	0.411541057552966	0.0731278025307684	5.62769621553733	1.82632360722047e-08	8.71849104081384e-06
ENSG00000167291	TBC1D16	1739.5884799708	0.504897685268445	0.092463170225011	5.46052751641292	4.74721902450613e-08	2.19068333917543e-05
ENSG00000127980	PEX1	2314.22178887448	0.354011757881953	0.0666745212577249	5.30955080297539	1.09895748900496e-07	4.75436483680772e-05
ENSG00000123352	SPATS2	3266.93290653807	0.405495082320838	0.0775147476441984	5.23119915428361	1.68413947456618e-07	7.0652202684528e-05
ENSG00000173757	STAT5B	5770.43864315802	0.339587386845733	0.0654481263526047	5.1886494812119	2.11824687548071e-07	8.37857421261569e-05
ENSG00000167107	ACSF2	1897.28043949193	0.351367842893575	0.06764909360682	5.19397709798955	2.05848474704599e-07	8.37857421261569e-05
ENSG00000063046	EIF4B	60455.3406566875	0.295733378540757	0.0572206552988301	5.16829765399075	2.36235865899974e-07	8.8471265555772e-05
ENSG00000150995	ITPR1	18715.3599464809	-0.529297146321005	0.102611231531798	-5.15827691003769	2.49232834200745e-07	8.8471265555772e-05
ENSG00000181704	YIPF6	3828.86380922849	0.425059604347441	0.0823192354055777	5.16355141363036	2.42307986929323e-07	8.8471265555772e-05
ENSG00000181856	SLC2A4	920.934459809694	0.443036828095244	0.0867593327701107	5.10650340372227	3.28174702036396e-07	0.000110810989633948
ENSG00000126561	STAT5A	2543.89024637591	0.322460445612075	0.0638329957334912	5.05162638705502	4.38063924553016e-07	0.000141036208639813
ENSG00000169908	TM4SF1	70671.0072771199	0.613169765723667	0.121634653658071	5.04107791063685	4.62916939238609e-07	0.000144608884009487
ENSG00000110002	VWA5A	790.876002990819	0.42342754816987	0.0845212992661296	5.00971414124429	5.45109422743575e-07	0.000160563720180044
ENSG00000013561	RNF14	1344.9730997156	0.459074422569107	0.0919069383655753	4.99499200749198	5.88382041156272e-07	0.000169699187036822
ENSG00000132640	BTBD3	8233.39829544037	-0.347322688087807	0.0697599396306836	-4.97882724564514	6.39707090852671e-07	0.000177122099315287
ENSG00000067177	PHKA1	2152.40467306905	0.364784308608841	0.0735706265489468	4.95828737255825	7.11173154091464e-07	0.000189336175870043
ENSG00000170385	SLC30A1	5056.43271430436	-0.399730625451279	0.080900779148514	-4.94099846328391	7.77235210973611e-07	0.000203019703032428
ENSG00000111358	GTF2H3	1635.73265008997	0.415031303286169	0.0843859564934214	4.9182508622572	8.73209617857159e-07	0.000223865073141009
ENSG00000171161	ZNF672	1475.65891801715	-0.409380847503191	0.0835397683834084	-4.90043072210022	9.56267740247526e-07	0.000239306658921064
ENSG00000103175	WFDC1	5306.18086999805	0.561397553816614	0.11469845432586	4.89455204184075	9.8529901462732e-07	0.000239306658921064
ENSG00000175066	GK5	2463.34894348041	0.341195262142227	0.0696931491361151	4.89567864806698	9.79670457797804e-07	0.000239306658921064
ENSG00000265190	ANXA8	747.136902029133	-0.416470682514349	0.0856313759664797	-4.86352902559193	1.15311106831501e-06	0.000261699502127099
ENSG00000099812	MISP	1686.04450428757	-0.474643652801853	0.0975905537983755	-4.86362290537339	1.15256401368431e-06	0.000261699502127099
